program,site,area,tool_id,task_id,task_name,workstream,owner,planned_start,planned_finish,actual_finish,status,gate,depends_on,risk_level,notes
Phoenix-ETD,SCC-Lab,Bay-8,T-PH-01,FT-10017,SAT acceptance,Hardware,IT/Network,2025-11-05,2025-11-08,2025-11-12,Done,SAT,SAT dry-run,Medium,
Phoenix-ETD,Hillsboro,Bay-6,T-PH-02,FT-10018,Layout approval,Facilities,Controls Eng,2025-12-02,2025-12-04,2025-12-10,Done,Install,,Low,
Phoenix-ETD,Hillsboro,Bay-6,T-PH-02,FT-10019,Civil/anchoring check,Facilities,Controls Eng,2025-12-05,2025-12-09,,In Progress,Install,Layout approval,Low,
Phoenix-ETD,Hillsboro,Bay-6,T-PH-02,FT-10020,Power drop install,Facilities,Facilities Eng,2025-12-08,2025-12-15,2025-12-12,Done,Install,Layout approval,Low,
Phoenix-ETD,Hillsboro,Bay-6,T-PH-02,FT-10021,Network VLAN approved,IT/Network,Controls Eng,2025-12-11,2025-12-13,2025-12-12,Done,Install,Layout approval,Medium,
Phoenix-ETD,Hillsboro,Bay-6,T-PH-02,FT-10022,Exhaust hookup,Facilities,IT/Network,2025-12-14,2025-12-16,2025-12-13,Done,Install,Layout approval,Medium,
Phoenix-ETD,Hillsboro,Bay-6,T-PH-02,FT-10023,CDA hookup,Facilities,IT/Network,2025-12-17,2025-12-27,2025-12-24,Done,Install,Layout approval,Medium,
Phoenix-ETD,Hillsboro,Bay-6,T-PH-02,FT-10024,DI water hookup,Facilities,Facilities Eng,2025-12-20,2025-12-25,2026-01-01,Done,Install,Layout approval,Medium,
Phoenix-ETD,Hillsboro,Bay-6,T-PH-02,FT-10025,Tool delivered to dock,SupplyChain,EHS,2025-12-23,2025-12-26,2025-12-28,Done,Install,Layout approval,Low,
Phoenix-ETD,Hillsboro,Bay-6,T-PH-02,FT-10026,Rigging scheduled,SupplyChain,Facilities Eng,2025-12-26,2025-12-28,,In Progress,Install,Tool delivered to dock,Low,
Phoenix-ETD,Hillsboro,Bay-6,T-PH-02,FT-10027,Install tool in bay,Hardware,Mech Eng,2025-12-29,2026-01-06,2026-01-09,Done,Install,"Power drop install,Tool delivered to dock,Rigging scheduled,Exhaust hookup,CDA hookup",Medium,
Phoenix-ETD,Hillsboro,Bay-6,T-PH-02,FT-10028,EHS walkdown,EHS,IT/Network,2026-01-01,2026-01-07,2026-01-07,Done,Install,Install tool in bay,Medium,
Phoenix-ETD,Hillsboro,Bay-6,T-PH-02,FT-10029,PLC flash + config,Controls,EHS,2026-01-04,2026-01-15,,In Progress,PowerOn,"Install tool in bay,Network VLAN approved",Low,
Phoenix-ETD,Hillsboro,Bay-6,T-PH-02,FT-10030,IO checkout,Controls,Mech Eng,2026-01-07,2026-01-11,2026-01-10,Done,PowerOn,PLC flash + config,Low,
Phoenix-ETD,Hillsboro,Bay-6,T-PH-02,FT-10031,Safety interlock validation,Controls,Controls Eng,2026-01-10,2026-01-13,2026-01-17,Done,PowerOn,IO checkout,Low,
Phoenix-ETD,Hillsboro,Bay-6,T-PH-02,FT-10032,Dry run cycle,Controls,Controls Eng,2026-01-13,2026-01-15,2026-01-20,Done,Comm,Safety interlock validation,Low,
Phoenix-ETD,Hillsboro,Bay-6,T-PH-02,FT-10033,Process baseline run,Hardware,Supplier Mgmt,2026-01-16,2026-01-19,,In Progress,Comm,Dry run cycle,Low,
Phoenix-ETD,Hillsboro,Bay-6,T-PH-02,FT-10034,SAT dry-run,Hardware,Controls Eng,2026-01-19,2026-01-30,,In Progress,SAT,"Process baseline run,EHS walkdown",Medium,
Phoenix-ETD,Hillsboro,Bay-6,T-PH-02,FT-10035,SAT acceptance,Hardware,IT/Network,2026-01-22,2026-01-24,2026-01-21,Done,SAT,SAT dry-run,Low,
Phoenix-ETD,Austin,Bay-6,T-PH-03,FT-10036,Layout approval,Facilities,EHS,2025-11-27,2025-12-03,2025-12-06,Done,Install,,Low,
Phoenix-ETD,Austin,Bay-6,T-PH-03,FT-10037,Civil/anchoring check,Facilities,Facilities Eng,2025-11-30,2025-12-10,2025-12-15,Done,Install,Layout approval,Low,
Phoenix-ETD,Austin,Bay-6,T-PH-03,FT-10038,Power drop install,Facilities,Supplier Mgmt,2025-12-03,2025-12-11,2025-12-11,Done,Install,Layout approval,Medium,
Phoenix-ETD,Austin,Bay-6,T-PH-03,FT-10039,Network VLAN approved,IT/Network,Mech Eng,2025-12-06,2025-12-15,,In Progress,Install,Layout approval,Medium,
Phoenix-ETD,Austin,Bay-6,T-PH-03,FT-10040,Exhaust hookup,Facilities,EHS,2025-12-09,2025-12-13,2025-12-12,Done,Install,Layout approval,Medium,
Phoenix-ETD,Austin,Bay-6,T-PH-03,FT-10041,CDA hookup,Facilities,Facilities Eng,2025-12-12,2025-12-15,2025-12-13,Done,Install,Layout approval,Low,
Phoenix-ETD,Austin,Bay-6,T-PH-03,FT-10042,DI water hookup,Facilities,Facilities Eng,2025-12-15,2025-12-21,2025-12-27,Done,Install,Layout approval,Low,
Phoenix-ETD,Austin,Bay-6,T-PH-03,FT-10043,Tool delivered to dock,SupplyChain,Mech Eng,2025-12-18,2025-12-22,,In Progress,Install,Layout approval,Medium,
Phoenix-ETD,Austin,Bay-6,T-PH-03,FT-10044,Rigging scheduled,SupplyChain,Controls Eng,2025-12-21,2025-12-29,2026-01-02,Done,Install,Tool delivered to dock,High,
Phoenix-ETD,Austin,Bay-6,T-PH-03,FT-10045,Install tool in bay,Hardware,Facilities Eng,2025-12-24,2025-12-31,,Blocked,Install,"Power drop install,Tool delivered to dock,Rigging scheduled,Exhaust hookup,CDA hookup",Low,
Phoenix-ETD,Austin,Bay-6,T-PH-03,FT-10046,EHS walkdown,EHS,Mech Eng,2025-12-27,2026-01-07,2026-01-04,Done,Install,Install tool in bay,Low,
Phoenix-ETD,Austin,Bay-6,T-PH-03,FT-10047,PLC flash + config,Controls,Controls Eng,2025-12-30,2026-01-02,2026-01-08,Done,PowerOn,"Install tool in bay,Network VLAN approved",Medium,
Phoenix-ETD,Austin,Bay-6,T-PH-03,FT-10048,IO checkout,Controls,Mech Eng,2026-01-02,2026-01-04,,In Progress,PowerOn,PLC flash + config,High,
Phoenix-ETD,Austin,Bay-6,T-PH-03,FT-10049,Safety interlock validation,Controls,Mech Eng,2026-01-05,2026-01-16,2026-01-14,Done,PowerOn,IO checkout,Low,
Phoenix-ETD,Austin,Bay-6,T-PH-03,FT-10050,Dry run cycle,Controls,EHS,2026-01-08,2026-01-12,2026-01-17,Done,Comm,Safety interlock validation,Low,
Phoenix-ETD,Austin,Bay-6,T-PH-03,FT-10051,Process baseline run,Hardware,IT/Network,2026-01-11,2026-01-19,,Blocked,Comm,Dry run cycle,High,
Phoenix-ETD,Austin,Bay-6,T-PH-03,FT-10052,SAT dry-run,Hardware,IT/Network,2026-01-14,2026-01-24,,Blocked,SAT,"Process baseline run,EHS walkdown",High,
Phoenix-ETD,Austin,Bay-6,T-PH-03,FT-10053,SAT acceptance,Hardware,Controls Eng,2026-01-17,2026-01-27,2026-01-25,Done,SAT,SAT dry-run,Medium,
Phoenix-ETD,Fremont,Bay-6,T-PH-04,FT-10054,Layout approval,Facilities,Facilities Eng,2025-12-03,2025-12-13,2025-12-16,Done,Install,,High,
Phoenix-ETD,Fremont,Bay-6,T-PH-04,FT-10055,Civil/anchoring check,Facilities,Controls Eng,2025-12-06,2025-12-16,,In Progress,Install,Layout approval,Low,
Phoenix-ETD,Fremont,Bay-6,T-PH-04,FT-10056,Power drop install,Facilities,EHS,2025-12-09,2025-12-17,2025-12-14,Done,Install,Layout approval,Low,
Phoenix-ETD,Fremont,Bay-6,T-PH-04,FT-10057,Network VLAN approved,IT/Network,Controls Eng,2025-12-12,2025-12-21,,In Progress,Install,Layout approval,Low,
Phoenix-ETD,Fremont,Bay-6,T-PH-04,FT-10058,Exhaust hookup,Facilities,EHS,2025-12-15,2025-12-25,2025-12-28,Done,Install,Layout approval,High,
Phoenix-ETD,Fremont,Bay-6,T-PH-04,FT-10059,CDA hookup,Facilities,Controls Eng,2025-12-18,2025-12-29,,In Progress,Install,Layout approval,Medium,
Phoenix-ETD,Fremont,Bay-6,T-PH-04,FT-10060,DI water hookup,Facilities,Controls Eng,2025-12-21,2025-12-28,2026-01-01,Done,Install,Layout approval,Low,
Phoenix-ETD,Fremont,Bay-6,T-PH-04,FT-10061,Tool delivered to dock,SupplyChain,Facilities Eng,2025-12-24,2026-01-01,,In Progress,Install,Layout approval,High,
Phoenix-ETD,Fremont,Bay-6,T-PH-04,FT-10062,Rigging scheduled,SupplyChain,IT/Network,2025-12-27,2025-12-29,,In Progress,Install,Tool delivered to dock,Medium,
Phoenix-ETD,Fremont,Bay-6,T-PH-04,FT-10063,Install tool in bay,Hardware,Controls Eng,2025-12-30,2026-01-01,2026-01-04,Done,Install,"Power drop install,Tool delivered to dock,Rigging scheduled,Exhaust hookup,CDA hookup",Low,
Phoenix-ETD,Fremont,Bay-6,T-PH-04,FT-10064,EHS walkdown,EHS,EHS,2026-01-02,2026-01-06,,In Progress,Install,Install tool in bay,Low,
Phoenix-ETD,Fremont,Bay-6,T-PH-04,FT-10065,PLC flash + config,Controls,Supplier Mgmt,2026-01-05,2026-01-16,2026-01-22,Done,PowerOn,"Install tool in bay,Network VLAN approved",High,
Phoenix-ETD,Fremont,Bay-6,T-PH-04,FT-10066,IO checkout,Controls,Facilities Eng,2026-01-08,2026-01-12,2026-01-15,Done,PowerOn,PLC flash + config,Low,
Phoenix-ETD,Fremont,Bay-6,T-PH-04,FT-10067,Safety interlock validation,Controls,Supplier Mgmt,2026-01-11,2026-01-17,2026-01-22,Done,PowerOn,IO checkout,Medium,
Phoenix-ETD,Fremont,Bay-6,T-PH-04,FT-10068,Dry run cycle,Controls,EHS,2026-01-14,2026-01-20,2026-01-19,Done,Comm,Safety interlock validation,Low,
Phoenix-ETD,Fremont,Bay-6,T-PH-04,FT-10069,Process baseline run,Hardware,Facilities Eng,2026-01-17,2026-01-19,2026-01-26,Done,Comm,Dry run cycle,Low,
Phoenix-ETD,Fremont,Bay-6,T-PH-04,FT-10070,SAT dry-run,Hardware,Mech Eng,2026-01-20,2026-01-26,2026-01-28,Done,SAT,"Process baseline run,EHS walkdown",Medium,
Phoenix-ETD,Fremont,Bay-6,T-PH-04,FT-10071,SAT acceptance,Hardware,EHS,2026-01-23,2026-02-03,,Blocked,SAT,SAT dry-run,Medium,
Phoenix-ETD,Austin,Bay-7,T-PH-05,FT-10072,Layout approval,Facilities,IT/Network,2025-10-07,2025-10-15,2025-10-13,Done,Install,,Low,
Phoenix-ETD,Austin,Bay-7,T-PH-05,FT-10073,Civil/anchoring check,Facilities,Controls Eng,2025-10-10,2025-10-16,,In Progress,Install,Layout approval,Low,
Phoenix-ETD,Austin,Bay-7,T-PH-05,FT-10074,Power drop install,Facilities,Mech Eng,2025-10-13,2025-10-15,2025-10-16,Done,Install,Layout approval,High,
Phoenix-ETD,Austin,Bay-7,T-PH-05,FT-10075,Network VLAN approved,IT/Network,IT/Network,2025-10-16,2025-10-25,2025-10-24,Done,Install,Layout approval,Medium,
Phoenix-ETD,Austin,Bay-7,T-PH-05,FT-10076,Exhaust hookup,Facilities,Supplier Mgmt,2025-10-19,2025-10-22,2025-10-23,Done,Install,Layout approval,High,
Phoenix-ETD,Austin,Bay-7,T-PH-05,FT-10077,CDA hookup,Facilities,Facilities Eng,2025-10-22,2025-10-26,2025-10-30,Done,Install,Layout approval,Medium,
Phoenix-ETD,Austin,Bay-7,T-PH-05,FT-10078,DI water hookup,Facilities,Supplier Mgmt,2025-10-25,2025-11-01,2025-11-03,Done,Install,Layout approval,Low,
Phoenix-ETD,Austin,Bay-7,T-PH-05,FT-10079,Tool delivered to dock,SupplyChain,Facilities Eng,2025-10-28,2025-11-08,2025-11-09,Done,Install,Layout approval,Medium,
Phoenix-ETD,Austin,Bay-7,T-PH-05,FT-10080,Rigging scheduled,SupplyChain,EHS,2025-10-31,2025-11-11,,In Progress,Install,Tool delivered to dock,Medium,
Phoenix-ETD,Austin,Bay-7,T-PH-05,FT-10081,Install tool in bay,Hardware,Supplier Mgmt,2025-11-03,2025-11-13,,In Progress,Install,"Power drop install,Tool delivered to dock,Rigging scheduled,Exhaust hookup,CDA hookup",Medium,
Phoenix-ETD,Austin,Bay-7,T-PH-05,FT-10082,EHS walkdown,EHS,Mech Eng,2025-11-06,2025-11-11,,In Progress,Install,Install tool in bay,High,
Phoenix-ETD,Austin,Bay-7,T-PH-05,FT-10083,PLC flash + config,Controls,EHS,2025-11-09,2025-11-12,2025-11-19,Done,PowerOn,"Install tool in bay,Network VLAN approved",Medium,
Phoenix-ETD,Austin,Bay-7,T-PH-05,FT-10084,IO checkout,Controls,Mech Eng,2025-11-12,2025-11-15,,In Progress,PowerOn,PLC flash + config,Low,
Phoenix-ETD,Austin,Bay-7,T-PH-05,FT-10085,Safety interlock validation,Controls,Facilities Eng,2025-11-15,2025-11-24,2025-11-28,Done,PowerOn,IO checkout,Low,
Phoenix-ETD,Austin,Bay-7,T-PH-05,FT-10086,Dry run cycle,Controls,EHS,2025-11-18,2025-11-27,2025-12-02,Done,Comm,Safety interlock validation,Low,
Phoenix-ETD,Austin,Bay-7,T-PH-05,FT-10087,Process baseline run,Hardware,Mech Eng,2025-11-21,2025-12-01,,In Progress,Comm,Dry run cycle,Low,
Phoenix-ETD,Austin,Bay-7,T-PH-05,FT-10088,SAT dry-run,Hardware,Mech Eng,2025-11-24,2025-11-29,,In Progress,SAT,"Process baseline run,EHS walkdown",Medium,
Phoenix-ETD,Austin,Bay-7,T-PH-05,FT-10089,SAT acceptance,Hardware,EHS,2025-11-27,2025-12-08,2025-12-09,Done,SAT,SAT dry-run,Low,
Phoenix-ETD,SCC-Lab,Bay-6,T-PH-06,FT-10090,Layout approval,Facilities,IT/Network,2025-09-27,2025-09-30,2025-09-27,Done,Install,,Low,
Phoenix-ETD,SCC-Lab,Bay-6,T-PH-06,FT-10091,Civil/anchoring check,Facilities,IT/Network,2025-09-30,2025-10-10,2025-10-15,Done,Install,Layout approval,Low,
Phoenix-ETD,SCC-Lab,Bay-6,T-PH-06,FT-10092,Power drop install,Facilities,Mech Eng,2025-10-03,2025-10-08,2025-10-05,Done,Install,Layout approval,Medium,
Phoenix-ETD,SCC-Lab,Bay-6,T-PH-06,FT-10093,Network VLAN approved,IT/Network,Mech Eng,2025-10-06,2025-10-15,2025-10-22,Done,Install,Layout approval,Medium,
Phoenix-ETD,SCC-Lab,Bay-6,T-PH-06,FT-10094,Exhaust hookup,Facilities,EHS,2025-10-09,2025-10-17,,In Progress,Install,Layout approval,Medium,
Phoenix-ETD,SCC-Lab,Bay-6,T-PH-06,FT-10095,CDA hookup,Facilities,Mech Eng,2025-10-12,2025-10-17,,In Progress,Install,Layout approval,Medium,
Phoenix-ETD,SCC-Lab,Bay-6,T-PH-06,FT-10096,DI water hookup,Facilities,EHS,2025-10-15,2025-10-18,2025-10-19,Done,Install,Layout approval,Medium,
Phoenix-ETD,SCC-Lab,Bay-6,T-PH-06,FT-10097,Tool delivered to dock,SupplyChain,Supplier Mgmt,2025-10-18,2025-10-21,2025-10-25,Done,Install,Layout approval,Low,
Phoenix-ETD,SCC-Lab,Bay-6,T-PH-06,FT-10098,Rigging scheduled,SupplyChain,Facilities Eng,2025-10-21,2025-10-29,,In Progress,Install,Tool delivered to dock,Medium,
Phoenix-ETD,SCC-Lab,Bay-6,T-PH-06,FT-10099,Install tool in bay,Hardware,EHS,2025-10-24,2025-10-31,,In Progress,Install,"Power drop install,Tool delivered to dock,Rigging scheduled,Exhaust hookup,CDA hookup",Medium,
Phoenix-ETD,SCC-Lab,Bay-6,T-PH-06,FT-10100,EHS walkdown,EHS,Controls Eng,2025-10-27,2025-11-04,,In Progress,Install,Install tool in bay,Low,
Phoenix-ETD,SCC-Lab,Bay-6,T-PH-06,FT-10101,PLC flash + config,Controls,EHS,2025-10-30,2025-11-01,,In Progress,PowerOn,"Install tool in bay,Network VLAN approved",High,
Phoenix-ETD,SCC-Lab,Bay-6,T-PH-06,FT-10102,IO checkout,Controls,EHS,2025-11-02,2025-11-09,,Blocked,PowerOn,PLC flash + config,Low,
Phoenix-ETD,SCC-Lab,Bay-6,T-PH-06,FT-10103,Safety interlock validation,Controls,Supplier Mgmt,2025-11-05,2025-11-08,,In Progress,PowerOn,IO checkout,Low,
Phoenix-ETD,SCC-Lab,Bay-6,T-PH-06,FT-10104,Dry run cycle,Controls,EHS,2025-11-08,2025-11-18,,In Progress,Comm,Safety interlock validation,Low,
Phoenix-ETD,SCC-Lab,Bay-6,T-PH-06,FT-10105,Process baseline run,Hardware,Controls Eng,2025-11-11,2025-11-21,2025-11-18,Done,Comm,Dry run cycle,Medium,
Phoenix-ETD,SCC-Lab,Bay-6,T-PH-06,FT-10106,SAT dry-run,Hardware,Mech Eng,2025-11-14,2025-11-22,,Blocked,SAT,"Process baseline run,EHS walkdown",Medium,
Phoenix-ETD,SCC-Lab,Bay-6,T-PH-06,FT-10107,SAT acceptance,Hardware,IT/Network,2025-11-17,2025-11-21,,In Progress,SAT,SAT dry-run,High,
Phoenix-ETD,Fremont,Bay-3,T-PH-07,FT-10108,Layout approval,Facilities,Controls Eng,2025-11-16,2025-11-25,2025-11-22,Done,Install,,Medium,
Phoenix-ETD,Fremont,Bay-3,T-PH-07,FT-10109,Civil/anchoring check,Facilities,Mech Eng,2025-11-19,2025-11-23,,In Progress,Install,Layout approval,Low,
Phoenix-ETD,Fremont,Bay-3,T-PH-07,FT-10110,Power drop install,Facilities,Mech Eng,2025-11-22,2025-11-30,,In Progress,Install,Layout approval,Low,
Phoenix-ETD,Fremont,Bay-3,T-PH-07,FT-10111,Network VLAN approved,IT/Network,EHS,2025-11-25,2025-12-02,2025-12-05,Done,Install,Layout approval,Low,
Phoenix-ETD,Fremont,Bay-3,T-PH-07,FT-10112,Exhaust hookup,Facilities,Mech Eng,2025-11-28,2025-12-05,2025-12-10,Done,Install,Layout approval,Medium,
Phoenix-ETD,Fremont,Bay-3,T-PH-07,FT-10113,CDA hookup,Facilities,Mech Eng,2025-12-01,2025-12-09,,In Progress,Install,Layout approval,Medium,
Phoenix-ETD,Fremont,Bay-3,T-PH-07,FT-10114,DI water hookup,Facilities,Mech Eng,2025-12-04,2025-12-08,2025-12-05,Done,Install,Layout approval,Low,
Phoenix-ETD,Fremont,Bay-3,T-PH-07,FT-10115,Tool delivered to dock,SupplyChain,EHS,2025-12-07,2025-12-13,,Blocked,Install,Layout approval,Medium,
Phoenix-ETD,Fremont,Bay-3,T-PH-07,FT-10116,Rigging scheduled,SupplyChain,IT/Network,2025-12-10,2025-12-20,2025-12-27,Done,Install,Tool delivered to dock,Low,
Phoenix-ETD,Fremont,Bay-3,T-PH-07,FT-10117,Install tool in bay,Hardware,Mech Eng,2025-12-13,2025-12-16,,In Progress,Install,"Power drop install,Tool delivered to dock,Rigging scheduled,Exhaust hookup,CDA hookup",Medium,
Phoenix-ETD,Fremont,Bay-3,T-PH-07,FT-10118,EHS walkdown,EHS,Controls Eng,2025-12-16,2025-12-22,,In Progress,Install,Install tool in bay,Low,
Phoenix-ETD,Fremont,Bay-3,T-PH-07,FT-10119,PLC flash + config,Controls,Supplier Mgmt,2025-12-19,2025-12-27,2025-12-28,Done,PowerOn,"Install tool in bay,Network VLAN approved",Low,
Phoenix-ETD,Fremont,Bay-3,T-PH-07,FT-10120,IO checkout,Controls,Controls Eng,2025-12-22,2025-12-31,,Blocked,PowerOn,PLC flash + config,Low,
Phoenix-ETD,Fremont,Bay-3,T-PH-07,FT-10121,Safety interlock validation,Controls,EHS,2025-12-25,2026-01-03,,In Progress,PowerOn,IO checkout,Low,
Phoenix-ETD,Fremont,Bay-3,T-PH-07,FT-10122,Dry run cycle,Controls,IT/Network,2025-12-28,2026-01-04,,Blocked,Comm,Safety interlock validation,Low,
Phoenix-ETD,Fremont,Bay-3,T-PH-07,FT-10123,Process baseline run,Hardware,IT/Network,2025-12-31,2026-01-10,2026-01-13,Done,Comm,Dry run cycle,Low,
Phoenix-ETD,Fremont,Bay-3,T-PH-07,FT-10124,SAT dry-run,Hardware,Controls Eng,2026-01-03,2026-01-08,2026-01-13,Done,SAT,"Process baseline run,EHS walkdown",Medium,
Phoenix-ETD,Fremont,Bay-3,T-PH-07,FT-10125,SAT acceptance,Hardware,IT/Network,2026-01-06,2026-01-09,2026-01-13,Done,SAT,SAT dry-run,Medium,
Phoenix-ETD,Austin,Bay-8,T-PH-08,FT-10126,Layout approval,Facilities,Mech Eng,2025-10-23,2025-10-26,,In Progress,Install,,Low,
Phoenix-ETD,Austin,Bay-8,T-PH-08,FT-10127,Civil/anchoring check,Facilities,EHS,2025-10-26,2025-11-05,2025-11-06,Done,Install,Layout approval,High,
Phoenix-ETD,Austin,Bay-8,T-PH-08,FT-10128,Power drop install,Facilities,IT/Network,2025-10-29,2025-10-31,2025-11-02,Done,Install,Layout approval,Medium,
Phoenix-ETD,Austin,Bay-8,T-PH-08,FT-10129,Network VLAN approved,IT/Network,Supplier Mgmt,2025-11-01,2025-11-05,2025-11-11,Done,Install,Layout approval,Medium,
Phoenix-ETD,Austin,Bay-8,T-PH-08,FT-10130,Exhaust hookup,Facilities,Supplier Mgmt,2025-11-04,2025-11-08,2025-11-05,Done,Install,Layout approval,Medium,
Phoenix-ETD,Austin,Bay-8,T-PH-08,FT-10131,CDA hookup,Facilities,Mech Eng,2025-11-07,2025-11-13,2025-11-13,Done,Install,Layout approval,Low,
Phoenix-ETD,Austin,Bay-8,T-PH-08,FT-10132,DI water hookup,Facilities,EHS,2025-11-10,2025-11-16,2025-11-23,Done,Install,Layout approval,Low,
Phoenix-ETD,Austin,Bay-8,T-PH-08,FT-10133,Tool delivered to dock,SupplyChain,IT/Network,2025-11-13,2025-11-18,2025-11-20,Done,Install,Layout approval,Low,
Phoenix-ETD,Austin,Bay-8,T-PH-08,FT-10134,Rigging scheduled,SupplyChain,Controls Eng,2025-11-16,2025-11-18,2025-11-24,Done,Install,Tool delivered to dock,Medium,
Phoenix-ETD,Austin,Bay-8,T-PH-08,FT-10135,Install tool in bay,Hardware,EHS,2025-11-19,2025-11-28,,In Progress,Install,"Power drop install,Tool delivered to dock,Rigging scheduled,Exhaust hookup,CDA hookup",Low,
Phoenix-ETD,Austin,Bay-8,T-PH-08,FT-10136,EHS walkdown,EHS,Supplier Mgmt,2025-11-22,2025-11-30,,In Progress,Install,Install tool in bay,Medium,
Phoenix-ETD,Austin,Bay-8,T-PH-08,FT-10137,PLC flash + config,Controls,IT/Network,2025-11-25,2025-11-30,,In Progress,PowerOn,"Install tool in bay,Network VLAN approved",Low,
Phoenix-ETD,Austin,Bay-8,T-PH-08,FT-10138,IO checkout,Controls,Supplier Mgmt,2025-11-28,2025-12-09,2025-12-11,Done,PowerOn,PLC flash + config,High,
Phoenix-ETD,Austin,Bay-8,T-PH-08,FT-10139,Safety interlock validation,Controls,Controls Eng,2025-12-01,2025-12-08,,In Progress,PowerOn,IO checkout,Low,
Phoenix-ETD,Austin,Bay-8,T-PH-08,FT-10140,Dry run cycle,Controls,IT/Network,2025-12-04,2025-12-08,,In Progress,Comm,Safety interlock validation,Medium,
Phoenix-ETD,Austin,Bay-8,T-PH-08,FT-10141,Process baseline run,Hardware,Controls Eng,2025-12-07,2025-12-10,,In Progress,Comm,Dry run cycle,High,
Phoenix-ETD,Austin,Bay-8,T-PH-08,FT-10142,SAT dry-run,Hardware,Mech Eng,2025-12-10,2025-12-21,,In Progress,SAT,"Process baseline run,EHS walkdown",Low,
Phoenix-ETD,Austin,Bay-8,T-PH-08,FT-10143,SAT acceptance,Hardware,EHS,2025-12-13,2025-12-23,,Blocked,SAT,SAT dry-run,High,
Phoenix-ETD,Austin,Bay-2,T-PH-09,FT-10144,Layout approval,Facilities,Controls Eng,2025-11-26,2025-12-01,2025-12-02,Done,Install,,Medium,
Phoenix-ETD,Austin,Bay-2,T-PH-09,FT-10145,Civil/anchoring check,Facilities,Controls Eng,2025-11-29,2025-12-02,,In Progress,Install,Layout approval,Low,
Phoenix-ETD,Austin,Bay-2,T-PH-09,FT-10146,Power drop install,Facilities,EHS,2025-12-02,2025-12-06,2025-12-06,Done,Install,Layout approval,Low,
